timestamp,timestamps_ns,has_image,model,class,confidence,x_min,y_min,x_max,y_max,dataset
,1754697614432149755,True,yolo26n,car,0.8423296809196472,293.70599365234375,802.3914794921875,560.4629516601562,914.3543090820312,W042_08-09-2025
,1754697614432149755,True,yolo26n,car,0.7968577742576599,1029.0916748046875,674.5543212890625,1126.5870361328125,749.8765258789062,W042_08-09-2025
,1754697614432149755,True,yolo26n,car,0.6120944619178772,1365.777099609375,785.6344604492188,1718.4532470703125,911.769287109375,W042_08-09-2025
,1754697614432149755,True,yolo26n,car,0.49535831809043884,1132.6182861328125,613.1353149414062,1201.3521728515625,649.7630615234375,W042_08-09-2025
,1754697614432149755,True,yolo26n,car,0.3740083575248718,920.2073364257812,608.4766845703125,991.701904296875,651.3174438476562,W042_08-09-2025
,1754697614432149755,True,yolo26n,traffic light,0.3723007142543793,1722.5604248046875,480.24041748046875,1747.263427734375,523.6282348632812,W042_08-09-2025
,1754697614432149755,True,yolo26n,car,0.2524280250072479,920.504150390625,601.3506469726562,998.6669311523438,647.26806640625,W042_08-09-2025
,1754697904449759466,True,yolo26n,car,0.5109459757804871,959.8638305664062,608.3760375976562,1042.4449462890625,654.4664306640625,W042_08-09-2025
,1754697904449759466,True,yolo26n,traffic light,0.4176783263683319,1722.6353759765625,480.1566467285156,1747.6737060546875,525.151611328125,W042_08-09-2025
,1754698201843796415,True,yolo26n,car,0.6321702003479004,1186.0211181640625,637.5975952148438,1276.6331787109375,688.8684692382812,W042_08-09-2025
,1754698201843796415,True,yolo26n,car,0.4994525909423828,721.4373168945312,740.1712646484375,1008.1041259765625,861.52294921875,W042_08-09-2025
,1754698201843796415,True,yolo26n,car,0.4948076009750366,2486.24853515625,883.9343872070312,2557.889404296875,984.6558227539062,W042_08-09-2025
,1754698201843796415,True,yolo26n,car,0.47582516074180603,950.5855102539062,592.4940795898438,1013.3394775390625,631.796142578125,W042_08-09-2025
,1754698201843796415,True,yolo26n,truck,0.30857500433921814,721.4373168945312,740.1712646484375,1008.1041259765625,861.52294921875,W042_08-09-2025
,1754698201843796415,True,yolo26n,traffic light,0.27083033323287964,1721.516357421875,479.2098083496094,1751.649658203125,525.1124267578125,W042_08-09-2025
,1754698504417340945,True,yolo26n,car,0.8266928791999817,2394.7138671875,847.4287109375,2558.550537109375,942.1263427734375,W042_08-09-2025
,1754698504417340945,True,yolo26n,car,0.6189727187156677,983.78173828125,612.3692626953125,1040.3734130859375,653.849365234375,W042_08-09-2025
,1754698803195495594,True,yolo26n,car,0.9160667061805725,202.01417541503906,850.4652709960938,430.73406982421875,976.67041015625,W042_08-09-2025
,1754698803195495594,True,yolo26n,car,0.7572564482688904,2179.517333984375,787.7056274414062,2404.429443359375,905.0166625976562,W042_08-09-2025
,1754698803195495594,True,yolo26n,car,0.6076964139938354,938.0635375976562,641.0474853515625,1016.467041015625,699.9717407226562,W042_08-09-2025
,1754698803195495594,True,yolo26n,car,0.567633330821991,1073.55419921875,664.2484130859375,1192.0380859375,754.583251953125,W042_08-09-2025
,1754699102410442856,True,yolo26n,car,0.9083715677261353,1446.463134765625,829.1325073242188,1802.246826171875,1005.7932739257812,W042_08-09-2025
,1754699102410442856,True,yolo26n,car,0.3339954614639282,1010.8488159179688,606.7907104492188,1077.2896728515625,647.2420043945312,W042_08-09-2025
,1754699102410442856,True,yolo26n,traffic light,0.28979983925819397,1721.160400390625,480.79937744140625,1751.2030029296875,523.721923828125,W042_08-09-2025
,1754699402933226737,True,yolo26n,car,0.6850285530090332,915.1868896484375,663.7096557617188,999.4468383789062,732.7664794921875,W042_08-09-2025
,1754699402933226737,True,yolo26n,car,0.5265133380889893,2418.735107421875,895.7613525390625,2550.7685546875,991.8672485351562,W042_08-09-2025
,1754699402933226737,True,yolo26n,car,0.47805899381637573,2223.9873046875,800.5458374023438,2377.355224609375,878.59521484375,W042_08-09-2025
,1754699402933226737,True,yolo26n,car,0.47264155745506287,1134.5858154296875,613.3596801757812,1191.714599609375,648.2957153320312,W042_08-09-2025
,1754699402933226737,True,yolo26n,traffic light,0.35481083393096924,1723.0760498046875,479.7265625,1749.770751953125,522.9971313476562,W042_08-09-2025
,1754699402933226737,True,yolo26n,car,0.3434251844882965,2409.142333984375,893.7575073242188,2558.7724609375,997.3916015625,W042_08-09-2025
,1754699402933226737,True,yolo26n,car,0.33243411779403687,967.7130126953125,614.1011352539062,1015.7787475585938,647.4527587890625,W042_08-09-2025
,1754699702525892413,True,yolo26n,car,0.9190167784690857,1789.016845703125,905.3307495117188,2176.983154296875,1097.6231689453125,W042_08-09-2025
,1754699702525892413,True,yolo26n,car,0.7289363145828247,2109.409423828125,780.1720581054688,2335.27294921875,881.8292846679688,W042_08-09-2025
,1754699702525892413,True,yolo26n,car,0.6626563668251038,964.71826171875,635.1131591796875,1071.061767578125,714.7198486328125,W042_08-09-2025
,1754699702525892413,True,yolo26n,car,0.5815368890762329,1177.4564208984375,619.694580078125,1259.367919921875,668.8414916992188,W042_08-09-2025
,1754699702525892413,True,yolo26n,car,0.41837942600250244,2402.00537109375,830.3508911132812,2558.501708984375,926.8707275390625,W042_08-09-2025
,1754699702525892413,True,yolo26n,car,0.25910112261772156,927.8712158203125,593.0238037109375,966.362060546875,621.6411743164062,W042_08-09-2025
,1754700004374353771,True,yolo26n,car,0.8889085650444031,527.8612670898438,844.8511962890625,845.5116577148438,993.3414306640625,W042_08-09-2025
,1754700004374353771,True,yolo26n,car,0.7447931170463562,2288.671142578125,1336.8690185546875,2558.26318359375,1645.0089111328125,W042_08-09-2025
,1754700004374353771,True,yolo26n,car,0.6917105913162231,977.5979614257812,601.318359375,1044.72998046875,652.9115600585938,W042_08-09-2025
,1754700004374353771,True,yolo26n,car,0.46344998478889465,910.2723999023438,609.0411987304688,975.56591796875,658.1470336914062,W042_08-09-2025
,1754700004374353771,True,yolo26n,car,0.3102412521839142,2286.931640625,1336.4937744140625,2558.858154296875,1649.922607421875,W042_08-09-2025
,1754700302782309343,True,yolo26n,bus,0.8903584480285645,1722.34423828125,743.8067626953125,2558.764404296875,1151.635498046875,W042_08-09-2025
,1754700302782309343,True,yolo26n,car,0.8235875368118286,0.0,1054.5838623046875,451.2030029296875,1445.692138671875,W042_08-09-2025
,1754700302782309343,True,yolo26n,traffic light,0.3775905668735504,1723.8487548828125,479.755126953125,1750.81298828125,519.9642333984375,W042_08-09-2025
,1754700302782309343,True,yolo26n,car,0.2887331545352936,0.0,1055.64111328125,449.1288146972656,1443.6510009765625,W042_08-09-2025
,1754700302782309343,True,yolo26n,car,0.28676292300224304,923.9414672851562,607.85205078125,980.0455322265625,647.9713134765625,W042_08-09-2025
,1754700302782309343,True,yolo26n,car,0.25910231471061707,0.5999755859375,1731.6256103515625,600.9389038085938,1918.958740234375,W042_08-09-2025
,1754700603096085257,True,yolo26n,car,0.9326432943344116,1446.035888671875,1039.6436767578125,2125.94677734375,1404.05419921875,W042_08-09-2025
,1754700603096085257,True,yolo26n,car,0.89766526222229,379.407958984375,937.0248413085938,849.9813232421875,1158.45263671875,W042_08-09-2025
,1754700603096085257,True,yolo26n,car,0.7629833817481995,2231.294677734375,801.2457885742188,2421.717041015625,883.5872802734375,W042_08-09-2025
,1754700603096085257,True,yolo26n,car,0.5964783430099487,1112.697265625,684.0157470703125,1272.949462890625,788.9849853515625,W042_08-09-2025
,1754700603096085257,True,yolo26n,car,0.48089438676834106,2378.65625,827.396728515625,2559.710205078125,965.2250366210938,W042_08-09-2025
,1754700603096085257,True,yolo26n,car,0.4519760310649872,951.7870483398438,594.1639404296875,1010.2893676757812,637.5661010742188,W042_08-09-2025
